Car Make,Car Model,Year,Battery_Type,Price_USD,Country
Acura,ZDX (with GM Ultium),2015,Lithium-titanate,111203.94,UK
Lamborghini,Revuelto (PHEV),2025,Lithium-titanate,127131.65,Netherlands
NIO,ET7,2020,Calcium-ion,94347.37,UK
Audi,e-tron,2025,Lithium-iron phosphate,75615.15,Argentina
Acura,ZDX (with GM Ultium),2023,Lithium-titanate,141046.94,UAE
XPeng,G9,2016,Lithium-iron phosphate,89907.75,Australia
Jeep,Recon (upcoming),2024,Nickel-cobalt-aluminum,35653.97,Sweden
Changan,Q05,2019,Lead-acid,94436.44,Mexico
Citroen,?-C4,2023,Aluminum-ion,90919.55,Sweden
Rimac,Nevera,2015,Solid-state,58904.59,UK
Volkswagen,ID.Buzz,2022,Lead-acid,141469.62,Denmark
Jaguar,I-PACE,2018,Solid-state,30862.9,South Korea
Mini,Mini Cooper SE,2018,Lead-acid,86756.75,Denmark
BMW,iX3,2025,Flow batteries,43112.28,Denmark
Faraday Future,FF 91,2015,Flow batteries,141164.04,Belgium
Tesla,Model Y,2019,Aluminum-ion,144878.12,UAE
Maserati,Grecale Folgore,2020,Lithium-ion,90939.42,Norway
Polestar,Polestar 2,2024,Solid-state,54511.1,Hungary
Tesla,Model Y,2024,Zinc-air,45894.79,China
Faraday Future,FF 91,2025,Calcium-ion,46114.93,France
Skoda,Elroq (upcoming),2019,Lead-acid,80829.09,Japan
Geely,Emgrand EV,2021,Lead-acid,130151.4,UAE
Skoda,Enyaq,2025,Solid-state,119937.31,Netherlands
Faraday Future,FF 91,2019,Nickel-metal hydride,133031.19,Denmark
Mini,Mini Electric,2021,Sodium-ion,91128.68,Saudi Arabia
Chevrolet,Bolt EV,2024,Nickel-cobalt-aluminum,148108.3,India
Skoda,Elroq (upcoming),2025,Lithium-iron phosphate,109606.5,Poland
Lucid Motors,Lucid Gravity,2025,Nickel-cobalt-aluminum,66113.98,USA
Geely,Geometry C,2025,Lithium-iron phosphate,64054.37,Finland
Chevrolet,Bolt EUV,2022,Zinc-air,105571.85,India
Porsche,Cayenne Electric (upcoming),2015,Lead-acid,126169.99,South Africa
Lamborghini,Lanzador (upcoming EV),2017,Lithium-titanate,130783.55,South Africa
Toyota,Lexus RZ,2020,Aluminum-ion,113273.98,Switzerland
Li Auto,MEGA,2024,Lithium-titanate,143129,India
Volvo,EX30,2021,Nickel-manganese-cobalt,130860.68,Finland
Changan,SL03,2015,Lithium-sulfur,121347.56,Portugal
Maserati,Grecale Folgore,2020,Lithium-iron phosphate,143953.41,Germany
Seat,Avenger,2020,Nickel-metal hydride,49651.9,France
Lucid Motors,Lucid Air,2024,Lithium-titanate,66189.92,Ireland
MG,MG5 EV,2015,Calcium-ion,73462.56,Australia
